,lon,lat,x1,x2,y,beta0,beta1,beta2,er
1,0,0,0.8025330637390305,-0.9015460884175122,-1.0569917881632676,1,1.0,5.0,0.5202301976070407
2,0,1,0.7637707684364894,0.9845745328825128,5.362497791074724,1,1.0833333333333333,4.982889722747621,-0.4208530646918357
3,0,2,-0.027290262907887285,0.11524570286202315,1.6089022568169582,1,1.1666666666666667,4.931851652578136,-0.09754176034498446
4,0,3,-0.6433888131264491,0.052460907198835775,0.42127148979631296,1,1.25,4.847759065022574,0.13033551923247239
5,0,4,-0.8239670026881707,0.26071819402835644,1.0421862825955697,1,1.3333333333333333,4.732050807568878,-0.1132469389605636
6,0,5,1.4031473817209366,0.27113061707020236,4.887850469754874,1,1.4166666666666667,4.58670668058247,-0.0017635038374593502
7,0,6,0.9049586994113287,0.8568542481006806,6.193938275266019,1,1.5,4.414213562373095,0.09308352036062773
8,0,7,0.3976728390023819,0.06294576961546386,2.4158285036993923,1,1.5833333333333335,4.217522858017441,0.2353649994118639
9,0,8,0.44110379103508873,-0.7318797311599887,-1.0469091902778636,1,1.6666666666666665,4.0,-0.002940902963069905
10,0,9,-0.15736219614735453,-0.5822582291186266,-1.9118742132567925,1,1.75,3.7653668647301797,-0.05149254462498527
11,0,10,-0.39990122591137445,0.8913156150655253,3.2637501319262663,1,1.8333333333333335,3.5176380902050415,0.10269015856491456
12,0,11,-1.1712365002966285,-0.3905082189100106,-3.0167981306241995,1,1.9166666666666665,3.2610523844401036,0.12253510097082666
13,0,12,0.9597752538041666,0.7523861952143763,5.640982463133922,1,2.0,3.0,-0.16448910389337626
14,0,13,0.6450323331598297,-0.3154523215417022,1.8233566740047917,1,2.083333333333333,2.738947615559897,0.263723698528548
15,0,14,0.5957831787424875,1.0225509680217193,4.789333355572239,1,2.166666666666667,2.4823619097949585,-0.5890492257839797
16,0,15,-1.5250681153426493,1.1808572722180044,0.5636389297994621,1,2.25,2.2346331352698208,0.0015352377677363583
17,0,16,-0.13698941007400853,-0.42220793207202106,-0.5257841337559841,1,2.333333333333333,2.0000000000000004,-0.004132874472025218
18,0,17,0.47777913386931326,0.009669260406608,2.0678003337790836,1,2.416666666666667,1.7824771419825587,-0.42292334049883085
19,0,18,-0.4612391930609103,0.8417474901759435,1.1444877221535754,1,2.5,1.585786437626905,-0.06047621164998014
20,0,19,-0.6840379551499387,-1.9165999902657032,-3.9088002079333464,1,2.583333333333333,1.41329331941753,0.07883758980978012
21,0,20,0.40492223630241114,-0.21540008450999143,2.2565231357834046,1,2.666666666666667,1.2679491924311226,0.23906297612844332
22,0,21,0.28075077761104705,2.213808355073481,4.760086102687094,1,2.75,1.1522409349774265,-0.012056411305268938
23,0,22,1.0912726657731104,3.368920447474639,6.867189466252024,1,2.833333333333333,1.0681483474218636,-0.5634912860088509
